OPERATOR,RIG,JOBNUM,WELL,COUNTY,STATE,BHA,BHA_DESC,DATEIN,DATEOUT,DEPTHIN,DEPTHOUT,TOTAL DRILL,ROTATE DRILL,ROTATE HRS,ROTATE ROP,SLIDE ROP,AVG ROP,CIRC_HOURS,DRILLING_HOURS,SLIDE_DRILLED,SLIDE_HOURS,BIT_MAKE,BIT_MODEL,BIT_NUM,TFA,GRADEOUT,MUD_WEIGHT,FLUID_TYPE,SOLIDS,PV,YP,CHLORIDES,BHT,MOTOR_OD,MOTOR_DESCRIPTION,SN,MOTOR_MODEL,MOTOR_MAKE,BENDANGLE,BIT2BEND,MOTOR_LOBES,MOTOR_STAGES,PLANNEDDLS,ACTDLS,MOTORYIELD,ON_BTM_PRESS,RPM,DIFF_PRESS,MAX_DIFFP,ON_BTM_TQ,MAX_TORQUE,FLOW_RATE,MAX_FLOW,WOB,COMMENTS,ADDITIONAL_COMMENTS,UNPLANNED_TRIP,MOTOR_FAILURE,MWD_FAILURE,TRIP_FOR_FAILURE,NPT,HRS_TO_FAIL,NUM_STALLS,WASH_REAM_TIME,DRY_REAM_TIME,PU,ROT,SO,SURFACEFINDINGS,TROUBLESHOOTING,LAT,LONG,BRT_HRS,PHASES,MOTOR_KICKPAD_OD,MOTOR_SLEEVE_OD,MAX_DLS,REASON_POOH,STATOR_FIT,STATOR_TYPE,BHT_MIN,BHT_AVG,BHT_MAX,MWD_COMMENTS
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240014,Nido Ranch 23H - Nido Ranch 23H,Webb,Texas,3,BHA 3,3/14/2024,3/16/2024,3797,8219,4422,4133,24.917,165.873,54.187,146.182,39.917,30.25,289,5.333,Ulterra,SPL613,3,0.994,1-2-CT-S-X-I-WT-TD,13.3,OBM,28,24,7,23000,209,8.25,"8 1/4"" 7/8 5.9 Fxd. @ 1.83 w/ 11 3/4"" NBS Fit: -0.003",825-RAM-005,RAM,Ibex,1.83,5.8,5.9,7/8,0,0,0,3735,59.583,495,1390,17000,21,828.75,900,43.75,"Assembly Held Angle Well Majority Of The Section. When It Did Drop In Rotation It Turned Right Aggressivly But No Issues Steering To Speak Of; Upon Out Of The Hole The Motor Drained As It Should, Had No Slack In Bearings, No Wear On Pad, & Bit Graded @ 1/2/CT/S/X/I/WT/TD","Assembly Held Angle Well Majority Of The Section. When It Did Drop In Rotation It Turned Right Aggressivly But No Issues Steering To Speak Of; Upon Out Of The Hole The Motor Drained As It Should, Had No Slack In Bearings, No Wear On Pad, & Bit Graded @ 1/2/CT/S/X/I/WT/TD",0,0,0,0,0,0,0,0,0,204.75,182.25,163.75,,,27.84207,-99.55527,55.25,INT-1: INTERMEDIATE 1,7.75,11.75,2.5,Section TD,-0.003,NBR-HPW,137,183.48,209,No Issues To Discuss
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240014,Nido Ranch 23H - Nido Ranch 23H,Webb,Texas,4,BHA 4,3/17/2024,3/19/2024,8219,10198,1979,1868,10.667,175.125,16.861,114.725,22.333,17.25,111,6.583,Baker Hughes,DD306TS,4,2.237,1-2-LT-S-X-I-CT-BHA,13.2,OBM,27,29,5,25000,223,7,"7"" 5/6 8.2 Fxd. @ 2.12 w/ 8 1/4 NBS Fit: -0.013",AEP7055,5/6 8.2,Altitude,2.12,4.08,5/6,8.2,14,14,16,2963.64,54,531.82,1930,11857.14,11760,579.55,600,18.86,"Assembly drilled exceptionally well during rotations but poorly upon atempting to slide. Hard stalls were encountered w/ little to no change in diff psi while sliding. Decision made to TOOH for tighter fit motor. Upon out of the hole the motor drained, had no slack, & no wear on pad. Bit Graded @ 1/2/LT/S/X/I/CT/BHA","Assembly drilled exceptionally well during rotations but poorly upon atempting to slide. Hard stalls were encountered w/ little to no change in diff psi while sliding. Decision made to TOOH for tighter fit motor. Upon out of the hole the motor drained, had no slack, & no wear on pad. Bit Graded @ 1/2/LT/S/X/I/CT/BHA",0,0,0,0,0,0,15,0,0,256,222,190,,,27.84207,-99.55527,38.25,INT-1: INTERMEDIATE 1,7.188,8.25,3.29,Change BHA,-0.013,NBR-HPW,177,200,223,No Issues To Report
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240014,Nido Ranch 23H - Nido Ranch 23H,Webb,Texas,5,BHA 5,3/19/2024,3/20/2024,10198,11243,1045,606,4,151.5,40.523,70.449,17.167,14.833,439,10.833,Baker Hughes,DD306TS,5,2.237,0-1-WT-S-X-I-NO-BHA,13.2,OBM,27,29,5,25000,242,7,"7"" 5/6 8.3 Fxd. @ 2.12 w/ 8 1/4"" NBS Fit: 0.006",CD700068DD,5/6 8.3,Patriot,2.12,4.3,5/6,8.3,0,0,14,4000,52,500,1960,11500,13030,700,750,27.5,"Loiw Build Rates - Assembly slid/ yielded well in anacacho but consistantly yielded 9s in chaulk resulting in TOOH for BRs needing 13.8 to land OTL. Upon out of the hole the motor drained as it should, had no slack in bearings, & no wear on the pad. Bit graded @ 0/1/WT/S/X/0/NO/BHA","Assembly slid/ yielded well in anacacho but consistantly yielded 9s in chaulk resulting in TOOH for BRs needing 13.8 to land OTL. Upon out of the hole the motor drained as it should, had no slack in bearings, & no wear on the pad. Bit graded @ 0/1/WT/S/X/0/NO/BHA",0,0,0,0,0,0,0,0,0,280,230,190,,,27.84207,-99.55527,29.25,INT-1: INTERMEDIATE 1 / CURVE: CURVE,7.188,8.25,9.48,Low build rates,0.006,OPTI,227,233,242,No Issues To Report
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240014,Nido Ranch 23H - Nido Ranch 23H,Webb,Texas,7,BHA 7,3/21/2024,3/25/2024,11650,20542,8892,8203,35.583,230.529,34.886,160.699,78.667,55.333,689,19.75,Baker Hughes,DD506TS,6,2.237,1-2-NO-A-X-I-NO-TD,13.4,OBM,28,29,5,26000,321,7,"7"" 5/6 8.3 Fxd. @ 1.83 True Slick Fit: 0.018",CD700008DD,5/6 8.3,Patriot,1.83,4.3,5/6,8.3,0,0,1,4841.18,77,621.57,1960,20233.33,13030,700,750,35.49,"Well TD BHA preformed great and had a slight building tendency.
No visable damage to BHA on surfcae. The motor drained good","BHA preformed great and had a slight building tendency.
No visable damage to BHA on surfcae. The motor drained good",0,0,0,0,0,0,0,0,0,363,235,180,,,27.84207,-99.55527,116.5,LAT: LATERAL,7.37,0,15.8,Well TD,0.018,OPTI,256,291,321,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240069,Nido Ranch 18H - Nido Ranch 18H,Webb,Texas,3,BHA 3,1/12/2025,1/13/2025,8253,10445,2192,1981,12.333,160.622,14.636,81.944,30.25,26.75,211,14.417,Baker Hughes,DD306TS,3,1.767,1-1-CT-S-X-1/16-NO-PR,13.2,OBM,23.79,26,4,30000,0,7.25,"7 1/4"" 5/6 8.2 Fxd. @ 2.12 w/ 8 1/4 NBS (FIT: 0.004)",LDS-7-M-009,5/6 8.2 ,Liberty,2.12,4.46,5/6,8.2,14,11.6,14,3464.706,55,558.824,1930,9.313,11760,582.353,600,21.765,"This Assembly was run to drill the curve utilizing an LDS 7.25 5/6 8.2 motor in conjunction with a Baker Hughes DD306TS bit selection. The motor was set @ 2.12?, drilled from KOP of 10,333?, and was pulled at 10445? projecting 11? inclination with a 330? azimuth. Motor yielded an 11.6 in the 32? of slide seen however the assembly exhibited erratic TF behavior with minimal weight on bit. (100 psi differential pressure spike would cause the TF to ?flop? 360? before returning to its origin & encountered 5 hard stalls.) Given these performance issues, the decision was made to TOOH and inspect the assembly. Upon reaching surface, the motor drained as expected, exhibited minimal slack, and minimal wear on the pad. The bit was graded @ 1/1/CT/S/X/1/NO/PR","This Assembly was run to drill the curve utilizing an LDS 7.25 5/6 8.2 motor in conjunction with a Baker Hughes DD306TS bit selection. The motor was set @ 2.12?, drilled from KOP of 10,333?, and was pulled at 10445? projecting 11? inclination with a 330? azimuth. Motor yielded an 11.6 in the 32? of slide seen however the assembly exhibited erratic TF behavior with minimal weight on bit. (100 psi differential pressure spike would cause the TF to ?flop? 360? before returning to its origin & encountered 5 hard stalls.) Given these performance issues, the decision was made to TOOH and inspect the assembly. Upon reaching surface, the motor drained as expected, exhibited minimal slack, and minimal wear on the pad. The bit was graded @ 1/1/CT/S/X/1/NO/PR",0,0,0,0,0,0,5,0,0,230.588,211.176,183.235,,,27.84211,-99.55523,38.25,INT-1: INTERMEDIATE 1 / CURVE: CURVE,7.56,8.25,3.94,ROP,0.004,NBR-HPW,1000.25,0,0,No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240069,Nido Ranch 18H - Nido Ranch 18H,Webb,Texas,4,BHA 4,1/13/2025,1/15/2025,10445,13165,2720,2037,16.667,122.22,78.808,107.368,29.25,25.333,683,8.667,Ulterra,U611S,4,1.724,,13.2,OBM,26.35,29,5,28000,0,7.25,"7 1/4"" 5/6 8.2 Fxd. @ 2.12 w/ 8 1/4"" NBS (FIT: -0.006)",LDS-7-M-012,5/6 8.2 ,Liberty,2.12,4.46,5/6,8.2,14,15,14,4350,40,795.455,1930,12.444,11760,600,600,43.864,"Planned - The assembly successfully finished drilling the curve section, landing at 11,215? on plan. The 2.12-degree motor performed efficiently, achieving an average yield of 13.5? per 100, exceeding the planned 12? per 100. After landing, the assembly continued into the lateral section, reaching 13,165 before being pulled in favor of a lateral assembly configured with a 1.83? motor setting and a stabilizer above the motor. Drilling parameters in the curve section initially included a differential pressure of 350-450 PSI and an ROP of 40-60 feet per hour. Upon exiting the Anachoncho formation and transitioning into the chalk, the cleaner formation allowed for increased differential pressures of 700-800 PSI and an ROP exceeding 120 feet per hour. In the lateral section, the assembly maintained a differential pressure of 750-850 PSI, displaying a build tendency, particularly beyond 91 degrees. At the surface, the motor was inspected and found to be tight, with minimal play in the bearings, & no wear on the kick pad. The bit was graded 1-1-CT-G-X-I-WT-BHA.","The assembly successfully finished drilling the curve section, landing at 11,215? on plan. The 2.12-degree motor performed efficiently, achieving an average yield of 13.5? per 100, exceeding the planned 12? per 100. After landing, the assembly continued into the lateral section, reaching 13,165 before being pulled in favor of a lateral assembly configured with a 1.83? motor setting and a stabilizer above the motor. Drilling parameters in the curve section initially included a differential pressure of 350-450 PSI and an ROP of 40-60 feet per hour. Upon exiting the Anachoncho formation and transitioning into the chalk, the cleaner formation allowed for increased differential pressures of 700-800 PSI and an ROP exceeding 120 feet per hour. In the lateral section, the assembly maintained a differential pressure of 750-850 PSI, displaying a build tendency, particularly beyond 91 degrees. At the surface, the motor was inspected and found to be tight, with minimal play in the bearings, & no wear on the kick pad. The bit was graded 1-1-CT-G-X-I-WT-BHA.",0,0,0,0,0,0,0,1,0,277.5,235,205.682,,,27.84211,-99.55523,41.25,CURVE: CURVE / LAT: LATERAL,7.56,8.25,14.61,Change BHA,0,NBR-HPW,1000.25,0,0,No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240069,Nido Ranch 18H - Nido Ranch 18H,Webb,Texas,5,BHA 5,1/15/2025,1/16/2025,13165,13215,50,50,0.917,54.545,0,54.545,3.5,0.917,0,0,Ulterra,5/6 8.3 ,5,1.767,,13.2,OBM,26.35,29,5,28000,0,7.25,7 1/4 5/6 8.3 Fxd. @ 1.83 TS (FIT: -0.024),LDS-7-M-011,5/6 8.3,Liberty,1.83,4.49,5/6,8.3,14,0,12,4800,75,400,1960,12,13030,650,780,40,"Chunk While tripping in the hole with BHA #5, a tight spot was encountered at 8,360. A string weight of 60k was set down on the bit but attempts to pick up resulted in the string hanging up. Pumps were brought online, registering 3,500 PSI at 400 GPM, indicating the bit was stuck and the motor had stalled. After pulling 80k over the string, it was successfully freed. The section was reamed out and cleaned before tripping in the hole to bottom at 13,165.
Once on bottom, the rate of penetration with the current assembly was 70-80 ft/hr. with only 300 PSI differential. In comparison, the previous assembly achieved a ROP of 150-180 ft/hr. A significant amount of stator rubber was observed returning over the shakers. Based on these findings, the decision was made to TOOH for assembly inspection. Upon out of the motor was already drained when atttemping to drain it, had no slack in bearings, & no wear on pad. Bit pulled green and was re-ran on BHA #6.","While tripping in the hole with BHA #5, a tight spot was encountered at 8,360. A string weight of 60k was set down on the bit but attempts to pick up resulted in the string hanging up. Pumps were brought online, registering 3,500 PSI at 400 GPM, indicating the bit was stuck and the motor had stalled. After pulling 80k over the string, it was successfully freed. The section was reamed out and cleaned before tripping in the hole to bottom at 13,165.
Once on bottom, the rate of penetration with the current assembly was 70-80 ft/hr. with only 300 PSI differential. In comparison, the previous assembly achieved a ROP of 150-180 ft/hr. A significant amount of stator rubber was observed returning over the shakers. Based on these findings, the decision was made to TOOH for assembly inspection. Upon out of the motor was already drained when atttemping to drain it, had no slack in bearings, & no wear on pad. Bit pulled green and was re-ran on BHA #6.",1,0,0,0,0,0,2,2,0,275,235,210,,,27.84211,-99.55523,17.25,LAT: LATERAL,7.57,0,0.63,ROP,0,Chrome,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240069,Nido Ranch 18H - Nido Ranch 18H,Webb,Texas,6,BHA 6,1/16/2025,1/19/2025,13215,19043,5828,5596,43.417,128.891,48,120.788,58.833,48.25,232,4.833,Ulterra,SPL613,5RR1,1.767,1-2-LT-T-X-1/16-WT-TD,13.2,OBM,26.35,29,5,28000,307,7.25,7 1/4 5/6 8.3 Fxd. @ 2.00 TS (FIT: -0.021),LDS-7-M-007,MOAB,Liberty,2,4.53,5/6,8.3,14,12,14,5260.345,70.333,587.931,1930,17.235,13030,650,750,43.793,TD Well ,Motor drained @ surface w/ No slack in bearings.,0,0,0,0,0,0,0,0,0,316.207,229.483,172.759,,,27.84211,-99.55523,72.75,LAT: LATERAL,7.53,0,3.09,Well TD,0,Chrome,307,307,307,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240069,Nido Ranch 18H - Nido Ranch 18H,Webb,Texas,1,BHA 1,12/16/2024,12/17/2024,98,3776,3678,3573,19.583,182.451,57.273,171.735,24.75,21.417,105,1.833,Ulterra,U616S,1,1.167,0-0-NO-A-X-I-NO-TD,0,,0,0,0,0,0,9.625,"9 5/8"" 6/7 5.0 FXD @ 1.75deg 17.25""NBS (Fit .019)",DM96214US,6/7 5.0 ,DynoMax,1.75,6,6/7,5,0,0,0,0,0,0,1180,0,23860,0,1300,0,TD Section TOOH @ TD & Rack Back BHA For Next Surface On 25H,TOOH @ TD & Rack Back BHA For Next Surface On 25H,0,0,0,0,0,0,0,0,0,0,0,0,,,27.84211,-99.55523,28.25,Surface: Surface,10.12,17.25,1.79,Section TD,0,,0,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240069,Nido Ranch 18H - Nido Ranch 18H,Webb,Texas,2,BHA 2,12/23/2024,12/24/2024,3776,8253,4477,4027,20.5,196.439,81.818,172.192,34.25,26,450,5.5,Ulterra,SPL613,2,1.167,1-1-WT-S-X-I-WT-TD,9,WBM,2,2,2,1400,0,8,"8"" 7/8 5.9 Fxd. @ 1.75 w/ 11 3/4"" NBS (Fit .004)",DM800ML030US,7/8 5.9 ,DynoMax,1.75,4.69,7/8,5.9,9,9,10,4343.75,47.292,473.75,1390,16.063,21870,856.25,900,35.625,TD Section Motor drained @ Surface w/ No slack in bearings. Bit was green. Racked backed BHA gonna re-run motor on 25H.,Motor drained @ Surface w/ No slack in bearings. Bit was green. Racked backed BHA gonna re-run motor on 25H.,0,0,0,0,0,0,0,0,0,225.5,189.125,175.375,,,27.84211,-99.55523,43,INT-1: INTERMEDIATE 1,8.41,11.75,2.82,Section TD,0.004,Chrome,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,6,BHA 6,1/14/2024,1/15/2024,10874,11091,217,0,0,0,74.4,74.4,5,2.917,217,2.917,Baker Hughes,D306TS,6,1.767,,13.6,OBM,29.5,37,5,30000,224,6.75,"6.75"" 4/5 7.0 Adj. @ 2.60 True Slick Fit: 0.008 (HPW .5OS)",RY675101,4/5 7.0,Blue Force,2.6,5.45,4/5,7.0,0,0,0,3500,0,600,1050,0,6060,600,600,30,"Low Build Rates Performed as expected building curve until needing 4s to Land OTL. Motor yielded consistant 15.7-16.0 DLS. Upon out of the hole the motor drained as it should, had no wear on pad, & no slack in bearings.","Performed as expected building curve until needing 4s to Land OTL. Motor yielded consistant 15.7-16.0 DLS. Upon out of the hole the motor drained as it should, had no wear on pad, & no slack in bearings.",0,0,0,0,0,0,0,0,0,300,260,240,,,27.85294,-99.54003,18.75,CURVE: CURVE,7.875,0,16.6,Low build rates,0.008,HPW 05OS,217,219,224,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,4,BHA 4,1/12/2024,1/13/2024,8276,10372,2096,1871,6.5,287.846,45,182.261,14.5,11.5,225,5,Baker Hughes,D406TS,4,1.767,0-0-NO-A-X-I-NO-BHA,14.4,OBM,32,37,16,23000,227,7,Ryan 7 5/6 8.4 FXD 1.83 TS FIT:.007(PV GRP0),RY700104,5/6 8.4,Blue Force,1.83,4,5/6,8.4,0,0,0,3372.727,56.429,600,1785,9735.714,11772,722.727,650,20,"Motor drain good and normal play in bit box.Motor was giving 10s when sliding.
Bit Grade: 0-0","Motor drain good and normal play in bit box.Motor was giving 10s when sliding.
Bit Grade: 0-0",0,0,0,0,0,0,0,0,0,230.909,205.909,181.818,,,27.85294,-99.54003,29.5,INT-2: INTERMEDIATE 2,7.25,0,1.87,Change BHA,0.007,GRPO,80,183.5,227,Liberty MWD No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,5,BHA 5,1/13/2024,1/14/2024,10372,10874,502,191,1.917,99.652,23.18,32.739,18.5,15.333,311,13.417,Baker Hughes,D406TS,5,1.767,0-0-NO-A-X-I-NO-BHA,14.4,OBM,32,37,16,23000,235,7,"7"" 5/6 8.3 Fxd. @ 2.25 True Slick Fit: 0.014 (HPW Opti-1OS)",CD700046DD,5/6 8.3,Patriot,2.25,4.56,5/6,8.3,0,0,0,3850,50,257.14,1960,13000,13030,714.29,750,18.57,"Motor Drain good and had noemal play in bit box. Motor was giving 11s and fell off to 7s due to formation and bad slide(Tool Faces)
Bit Grade:0-0","Motor Drain good and had noemal play in bit box. Motor was giving 11s and fell off to 7s due to formation and bad slide(Tool Faces)
Bit Grade:0-0",0,0,0,0,0,0,0,0,0,270,210,215,,,27.85294,-99.54003,30.5,INT-2: INTERMEDIATE 2 / CURVE: CURVE,7.188,0,11.73,Low build rates,0.014,OPTI-1OS,224,228,235,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,7,BHA 7,1/15/2024,1/19/2024,11091,13911,2820,2468,19.75,124.962,18.942,73.565,59.75,38.333,352,18.583,Baker Hughes,D306TS,6 RR1,1.767,1-1-BT-G-X-I-NO-BHA,13.8,OBM,29.5,25,8,30000,252,7,"7"" 5/6 8.2 Fxd. @ 1.83 True Slick Fit: -0.007 (OPTI-1OS)",RY700118,5/6 8.2,Blue Force,1.83,4.09,5/6,8.2,0,0,0,2990.63,59,507.82,1930,13894.74,11270,564.69,600,30.63,"Bit box loose but no other signs of visible wear, minimal slack in bearing section and drained well. 
Bit Grade 1-1-BT-G-X-I-NO-BHA","Bit box loose but no other signs of visible wear, minimal slack in bearing section and drained well. 
Bit Grade 1-1-BT-G-X-I-NO-BHA",0,0,0,0,0,0,0,0,0,300,258,218,,,27.85294,-99.54003,86.75,CURVE: CURVE / LAT: LATERAL,7.188,0,18.65,Change BHA,0.008,HPW OPTI-1OS,209,238,252,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,8,BHA 8,1/19/2024,1/21/2024,13911,15053,1142,1065,8.167,130.408,15.4,86.734,31.417,13.167,77,5,Baker Hughes,D306TS,7,1.767,0-0-NO-A-X-I-NO-DTF,13.6,OBM,29,27,7,29000,270,7,"7"" 5/6 8.3 Fxd. @ 1.83 TS Fit: 0.020 (HPW OPTI-1OS)",CD700015DD,5/6 8.3,Patriot,1.83,4.45,5/6,8.3,12,13,13,4176.923,70,438.462,1960,13,13030,669.231,750,43,"MWD Failed - Upon Out Of The Hole The Motor Drained As It Should, Had No Slack In Bearings, & No Wear On Pad. Bit Graded @ 0/0/NO/A/X/0/DTF","Upon Out Of The Hole The Motor Drained As It Should, Had No Slack In Bearings, & No Wear On Pad. Bit Graded @ 0/0/NO/A/X/0/DTF",0,0,1,1,0,0,0,0,0,280,235,220,Corrupted Firmware,"Trouble Shoot Surface Equipment. Re-Set Surface Equipment, Re-Set,  Files, & Re-Loaded Files.",27.85294,-99.54003,56.5,LAT: LATERAL,7.188,0,2.44,MWD Failure,0.02,HPW OPTI-1OS,250,260.31,270,Upon Sliding It Was Noticed That TF Wasnt Updating As It Should. Upon Further Investigation It Was Found That The Firmware File Was Corrupted. Decision Was Made To TOOH For MWD Prior To Sliding For Turn In Lateral.
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,9,BHA 9,1/21/2024,1/28/2024,15053,23310,8257,6906,49.667,139.047,31.541,89.265,111.083,92.5,1351,42.833,Baker Hughes,D306TS,7 RR1,1.767,1-1-CT-S-X-I-NO-TD,13.6,OBM,29,27,7,29000,328,7,5/,CD700005DD,5/6 8.3,Patriot,1.83,4.63,5/6,8.3,0,0,0,4657.944,66.29,541.121,1960,20.516,13030,674.533,750,37.877,"well TD - IN HOLE: BHA went in right before a 3? S Turn. First section of turn motor performed well yielding 12s and staying on track. Section section yields dropped to 6s and acted as though we were up against something. Going FWD we dealt with extreme azmuthal walk in both directions. Dead slide at times till we saw azimuth begin to change. End of lateral GEO wanted to drop down and find a gamma marker. We kept between 88-90 degress and BHA tracked extemely well in rotation. 
ABOVE ROTARY: No visual audible or mechanical issues to report. Motor seemed strong while draining and had very minimal slack in the bearing section. 
Bit Grade: 1-1-CT-S-X-I-NO-TD","IN HOLE: BHA went in right before a 3? S Turn. First section of turn motor performed well yielding 12s and staying on track. Section section yields dropped to 6s and acted as though we were up against something. Going FWD we dealt with extreme azmuthal walk in both directions. Dead slide at times till we saw azimuth begin to change. End of lateral GEO wanted to drop down and find a gamma marker. We kept between 88-90 degress and BHA tracked extemely well in rotation. 
ABOVE ROTARY: No visual audible or mechanical issues to report. Motor seemed strong while draining and had very minimal slack in the bearing section. 
Bit Grade: 1-1-CT-S-X-I-NO-TD",0,0,0,0,0,0,0,0,0,318.505,225.841,171.682,,,27.85294,-99.54003,155.5,LAT: LATERAL,7.125,0,6.83,Well TD,0.02,HPW OPTI-1OS,263,304.02,328,No issues. Max Temp 335.?F
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,1,BHA 1,12/20/2023,12/21/2023,0,3000,3000,2943,10.75,273.767,76,260.87,13.5,11.5,57,0.75,Smith,SDI616 MHEB,1,0.994,0-0-NO-A-X-I-NO-TD,8.4,WBM,0.9,1,1,1300,86.6,9.625,Bico 9 5/8 7/8 6.0 ADJ 1.83 17 1/4 -NBS fit:0.003,BPB5962-0014,SS100-GB-5,BICO,1.83,8.25,7/8,6.0,7,7,0,2035.294,60,688.235,11,15.357,34000,876.471,1200,27.765,,"Rotated well and easy to slide. No issues. On suface, we found no issues or visable damage to BHA. Bit was green. 0-0-NO-A-X-I-NO-TD",0,0,0,0,0,0,0,0,0,99.059,100.294,91.059,,,27.85294,-99.54003,18.833,Surface: Surface,10.42,17.25,1.2,Section TD,0.003,Bico,68,74.71,86.6,No Liberty MWD issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,2,BHA 2,12/24/2023,12/25/2023,3000,6029,3029,2847,11.75,242.298,36.4,180.836,22.083,16.75,182,5,Baker Hughes,D506X,2,1.178,1-1-NO-A-X-I-NO-DMF,8.4,WBM,0.9,1,1,1300,180.5,8,Bico 8 7/8 4.0 FXD 1.75 11 3/4 -NBS fit:0.005,BPB5825-0011,SS100 G2-B5,BICO,1.75,5.25,7/8,4.0,0,0,9,3269.444,53.824,612.037,1000,16.294,16500,864.815,900,21.778,,"Was dry the last 3 stands motor bit box pop when we went  to drain...had no slack or play in bit box.
Bit Grade:1-1 and Green.Had one plug jet.
Was rotating ahead and at connection pick up off bottom and motor spike 1400 psi like it was stalling pick up reset everything and gain 500 psi.tried to drill ahead and had an ROP of 30 fhr with 30 to 40 k weight.Had alot of rubber across shakers.",0,1,0,1,0,0,0,0,0,150.593,141.407,132.444,,,27.85294,-99.54003,28,INT-1: INTERMEDIATE 1,8.625,11.75,1.8,Motor Failure,0.005,BICO,93.8,139.44,180.5,Liberty MWD No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230068,STATE OF TEXAS RAFTER O WEST 2H - OH,Webb,Texas,3,BHA 3,12/25/2023,12/27/2023,6029,8276,2247,2125,8.5,250,20.914,156.767,16.583,14.333,122,5.833,Baker Hughes,D506X,2,1.178,1-1-NO-A-X-I-NO-TD,12.5,OBM,25,23,6,27000,205.8,8,Bico 8in 7/8 4.0 FXD 1.50 11 3/4-NBS fit:0.005,BPG2800-0057,SS100-G2,BICO,1.5,5.45,7/8,4.0,0,0,9,3573.57,52,595,1000,20.91,16500,873.21,900,25.5,,"Motor drain good and normal slack and play in bit box..Motor  yields of 8s
Bit Grade 1-1 with 2 plug jets",0,0,0,0,0,0,0,0,0,229,208,187,,,27.85294,-99.54003,25.75,INT-1: INTERMEDIATE 1,8.625,11.75,2.37,Section TD,0.005,BICO,79,178,206,Liberty MWD No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230067,STATE OF TEXAS RAFTER O WEST 1H - OH,Webb,Texas,4,BHA 4,12/31/2023,1/1/2024,11153,11341,188,0,0,0,62.667,62.667,5.75,3,188,3,Baker Hughes,DD306TS,6,1.767,0-0-NO-A-X-I-NO-BHA,13.8,OBM,29,31,7,27000,223.9,6.75,Ryan 6.75 4/5 7.0 FXD 2.60 TS FIT:.002(.5OS),RY675097,Ryan,Other,2.38,5.4,4/5,7.0,0,0,0,2834,0,534,1580,0,12330,545,600,33,POOH P/U 2.12,"Motor Drain good and normal play in bit box...
Bit 0-0 and Re-Run on BHA # 5 had 1 Plug Jet.",0,0,0,0,0,0,0,0,0,265,250,222,,,27.85299,-99.54006,17.5,CURVE: CURVE,7.15,0,16.75,Change BHA,0.002,NBR HPW,220.3,221.74,223.9,Liberty MWD No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-230067,STATE OF TEXAS RAFTER O WEST 1H - OH,Webb,Texas,2,BHA 2,12/28/2023,12/30/2023,5001,10838,5837,5552,26.5,209.509,42.75,175.99,36.167,33.167,285,6.667,Baker Hughes,DD406TS,2,1.167,0-0-NO-A-X-I-NO-BHA,13.3,OBM,27.1,24,8,28000,238.4,7,Ryan 7 5/6 8.4 FXD 1.83 TS FIT:.009(GRP0),RY700030,Ryan,Other,1.83,4.3,5/6,8.4,0,0,0,2985,50,522,1750,11,11700,651,700,30,,"No issues sliding, No issues while rotating. Held best angle at 50rpm and 800 diff. Yeilded 4-13s. On surface, found no visible damage or issues. Motor drained currectly. Bit grade:0-0-NO-A-X-I-NO-BHA",0,0,0,0,0,0,0,0,0,80,80,80,,,27.85299,-99.54006,50,INT-1: INTERMEDIATE 1,7.25,0,2.39,Change BHA,0.009,FT-009,133.6,189.8,238.4,No MWD issues
